experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,dynamic_astar,succeeded,0,37.16,107.17,16,11,4,0.067,0.5286
2,dynamic_astar,succeeded,0,32.512,84.4,4,7,3,0.031,0.446
3,dynamic_astar,succeeded,0,33.579,85.89,3,8,3,0.063,0.4786
4,dynamic_astar,succeeded,0,32.552,84.26,6,5,3,0.1,0.4368
5,dynamic_astar,succeeded,0,32.96,87.13,6,8,2,0.144,0.4547
6,dynamic_astar,succeeded,0,32.634,85.12,6,6,3,0.112,0.4519
7,dynamic_astar,succeeded,0,32.418,82.57,6,6,6,0.149,0.4025
8,dynamic_astar,succeeded,0,32.85,84.75,4,7,3,0.054,0.4531
9,dynamic_astar,succeeded,0,32.653,84.09,4,6,3,0.089,0.4759
10,dynamic_astar,succeeded,0,32.528,84.19,5,5,3,0.046,0.4219
11,dynamic_astar,succeeded,0,32.44,83.58,5,7,4,0.117,0.4473
12,dynamic_astar,succeeded,0,32.463,84.29,6,9,3,0.122,0.4153
13,dynamic_astar,aborted,0,15.785,101.12,3,5,2,0.01,0.7399
13,dynamic_astar,succeeded,1,37.398,99.65,16,15,5,0.074,0.4413
14,dynamic_astar,succeeded,0,32.337,83.36,5,6,3,0.026,0.4382
15,dynamic_astar,succeeded,0,32.284,82.81,6,7,3,0.159,0.4019
16,dynamic_astar,aborted,0,9.219,24.68,3,2,1,0.143,0.5457
16,dynamic_astar,aborted,1,26.397,85.92,12,12,5,0.223,0.5674
17,dynamic_astar,aborted,0,0.0,1.34,0,0,0,2.632,0.7275
17,dynamic_astar,aborted,1,28.397,102.95,12,12,6,0.17,0.6809
18,dynamic_astar,succeeded,0,45.71,134.65,12,14,7,0.108,0.4918
19,dynamic_astar,aborted,0,12.986,40.92,2,2,1,0.071,0.6781
19,dynamic_astar,succeeded,1,37.409,103.94,13,14,4,0.069,0.517
20,dynamic_astar,succeeded,0,32.77,84.11,7,6,4,0.072,0.4201
21,dynamic_astar,succeeded,0,32.389,84.24,5,10,4,0.082,0.4421
22,dynamic_astar,succeeded,0,39.049,121.41,9,11,4,0.044,0.5366
23,dynamic_astar,succeeded,0,32.64,84.36,5,5,3,0.218,0.4137
24,dynamic_astar,succeeded,0,42.363,152.49,15,17,5,0.05,0.501
25,dynamic_astar,succeeded,0,34.023,101.32,7,14,8,0.022,0.424
1,dynamic_dstar,aborted,0,0.437,97.89,3,4,1,0.21,0.3955
1,dynamic_dstar,timeout,1,2.581,201.7,11,15,1,0.387,0.3847
2,dynamic_dstar,interrupted,0,0.039,61.1,2,2,0,0.934,0.3148
