experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,social_astar,timeout,0,30.128,218.6,37,36,4,0.039,0.3428
2,social_astar,succeeded,0,43.735,212.36,17,23,8,0.035,0.5568
3,social_astar,aborted,0,13.406,205.63,3,4,2,0.244,0.232
3,social_astar,succeeded,1,52.947,178.61,18,23,4,0.075,0.4891
4,social_astar,succeeded,0,32.365,83.14,4,6,3,0.097,0.3745
5,social_astar,succeeded,0,32.357,83.17,5,6,3,0.107,0.3649
6,social_astar,succeeded,0,32.425,83.01,4,6,3,0.225,0.3733
7,social_astar,succeeded,0,32.169,83.14,3,5,0,0.477,0.3443
8,social_astar,succeeded,0,37.734,125.48,11,14,6,0.05,0.4656
9,social_astar,succeeded,0,34.42,83.66,4,6,1,0.075,0.3402
10,social_astar,succeeded,0,32.567,82.83,4,7,2,0.283,0.3331
11,social_astar,succeeded,0,32.388,82.8,4,6,3,0.055,0.3367
12,social_astar,succeeded,0,32.813,82.79,4,7,3,0.171,0.3603
13,social_astar,succeeded,0,32.71,82.94,4,7,3,0.199,0.395
14,social_astar,succeeded,0,32.905,85.34,6,8,2,0.074,0.4131
15,social_astar,succeeded,0,37.574,107.72,7,9,2,0.167,0.3583
16,social_astar,timeout,0,23.352,254.63,32,31,28,0.006,0.9561
17,social_astar,succeeded,0,37.349,103.6,9,12,4,0.03,0.3743
18,social_astar,aborted,0,20.22,61.24,4,4,1,0.134,0.4722
18,social_astar,succeeded,1,37.691,104.93,9,9,3,0.251,0.4259
19,social_astar,succeeded,0,32.688,82.24,4,7,2,0.074,0.3428
20,social_astar,aborted,0,13.989,120.03,11,13,3,0.235,0.2815
20,social_astar,aborted,1,25.105,93.36,11,12,4,0.08,0.4541
21,social_astar,succeeded,0,44.822,117.28,8,13,4,0.058,0.3725
22,social_astar,succeeded,0,32.586,82.34,5,6,3,0.184,0.3546
23,social_astar,succeeded,0,32.554,82.7,4,6,3,0.368,0.3443
24,social_astar,succeeded,0,32.15,82.25,4,6,3,0.281,0.3245
25,social_astar,succeeded,0,43.734,125.23,14,17,4,0.101,0.57
