experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,social_astar,succeeded,0,36.226,93.22,10,13,5,0.063,0.3718
2,social_astar,succeeded,0,32.101,81.13,4,6,2,0.364,0.2555
3,social_astar,succeeded,0,31.886,77.99,7,9,2,0.368,0.2527
4,social_astar,succeeded,0,31.988,78.27,7,7,2,0.412,0.2486
5,social_astar,succeeded,0,32.204,78.86,3,13,1,0.39,0.2505
6,social_astar,succeeded,0,32.131,78.13,4,8,2,0.336,0.2393
7,social_astar,succeeded,0,32.042,79.54,3,4,2,0.4,0.2531
8,social_astar,succeeded,0,31.933,77.67,6,8,2,0.346,0.261
9,social_astar,succeeded,0,32.093,78.58,5,7,2,0.349,0.2506
10,social_astar,succeeded,0,31.904,77.31,6,6,1,0.38,0.252
11,social_astar,succeeded,0,31.709,77.49,7,8,2,0.324,0.2634
12,social_astar,succeeded,0,32.062,77.94,5,8,1,0.416,0.245
13,social_astar,succeeded,0,31.997,77.71,4,6,2,0.38,0.2392
14,social_astar,succeeded,0,31.754,80.24,4,6,2,0.321,0.2482
15,social_astar,succeeded,0,32.244,77.98,6,6,2,0.386,0.259
16,social_astar,succeeded,0,32.055,77.61,5,6,3,0.407,0.2525
17,social_astar,succeeded,0,31.99,78.12,4,6,2,0.327,0.2493
18,social_astar,succeeded,0,31.779,77.5,4,7,2,0.346,0.2543
19,social_astar,succeeded,0,32.073,78.6,5,9,2,0.332,0.2483
20,social_astar,succeeded,0,32.064,78.14,8,8,2,0.347,0.2505
21,social_astar,succeeded,0,31.954,77.43,4,6,1,0.38,0.2416
22,social_astar,succeeded,0,31.95,78.11,5,7,2,0.384,0.2561
23,social_astar,succeeded,0,31.886,77.58,5,7,2,0.358,0.2548
24,social_astar,succeeded,0,32.217,80.44,3,10,2,0.338,0.2455
25,social_astar,succeeded,0,31.913,78.03,5,8,2,0.382,0.2554
