experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,social_astar,aborted,0,0.0,8.85,0,0,0,2.972,5.4457
1,social_astar,succeeded,1,35.991,173.39,16,18,6,0.026,0.2626
2,social_astar,succeeded,0,32.28,148.05,15,15,5,0.174,0.2548
3,social_astar,succeeded,0,32.149,149.98,5,10,3,0.167,0.2787
4,social_astar,succeeded,0,32.222,148.57,2,3,1,0.331,0.2457
5,social_astar,succeeded,0,32.385,148.15,1,1,0,0.545,0.2591
6,social_astar,succeeded,0,32.239,145.69,0,0,0,3.493,0.2349
7,social_astar,succeeded,0,32.309,145.76,0,0,0,3.986,0.246
8,social_astar,succeeded,0,32.155,147.0,0,0,0,4.843,0.2567
9,social_astar,succeeded,0,31.995,146.27,0,0,0,5.515,0.2594
10,social_astar,succeeded,0,32.311,146.68,0,0,0,6.189,0.2429
11,social_astar,succeeded,0,32.266,147.04,0,0,0,7.1,0.2665
12,social_astar,succeeded,0,32.181,147.72,0,0,0,7.195,0.2498
13,social_astar,succeeded,0,32.229,148.5,0,0,0,8.153,0.2572
14,social_astar,succeeded,0,32.235,151.39,0,0,0,8.176,0.3013
15,social_astar,succeeded,0,32.169,146.72,0,0,0,11.24,0.2604
16,social_astar,succeeded,0,32.263,146.84,0,0,0,12.768,0.2594
17,social_astar,succeeded,0,32.161,145.61,0,0,0,13.642,0.2711
18,social_astar,succeeded,0,31.965,153.28,0,0,0,14.693,0.2586
19,social_astar,aborted,0,13.349,69.72,0,0,0,18.613,0.2587
19,social_astar,succeeded,1,36.049,176.33,0,0,0,13.545,0.2787
20,social_astar,succeeded,0,32.098,152.11,0,0,0,15.432,0.2389
21,social_astar,succeeded,0,32.247,154.95,0,0,0,15.821,0.2563
22,social_astar,succeeded,0,32.211,153.23,0,0,0,16.349,0.2445
23,social_astar,succeeded,0,31.993,151.63,0,0,0,15.794,0.2516
24,social_astar,succeeded,0,31.886,151.64,0,0,0,15.889,0.2661
25,social_astar,succeeded,0,31.948,150.1,0,0,0,16.889,0.2591
