experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,dynamic,aborted,0,7.681,24.16,3,4,1,0.334,0.6164
1,dynamic,aborted,1,15.435,44.68,8,6,3,0.085,0.7011
2,dynamic,aborted,0,19.574,65.15,6,8,2,0.055,0.6344
2,dynamic,aborted,1,0.948,3.78,0,1,0,1.03,0.6293
3,dynamic,aborted,0,2.748,5.8,0,0,0,2.152,0.3415
3,dynamic,succeeded,1,36.7,104.31,20,16,5,0.048,0.587
4,dynamic,aborted,0,2.83,8.04,0,0,0,1.553,0.4427
4,dynamic,aborted,1,24.47,68.37,10,11,4,0.052,0.7437
5,dynamic,aborted,0,0.667,17.23,2,2,1,0.167,1.0284
5,dynamic,aborted,1,4.244,11.54,2,4,0,0.71,0.5983
6,dynamic,aborted,0,16.727,44.46,2,6,0,0.853,0.4518
6,dynamic,aborted,1,9.383,27.51,3,5,1,0.413,0.5668
7,dynamic,aborted,0,8.246,25.45,2,2,1,0.208,0.7758
7,dynamic,aborted,1,15.757,64.14,7,7,4,0.11,0.5913
8,dynamic,aborted,0,3.633,9.99,1,1,2,0.21,0.5593
8,dynamic,aborted,1,13.034,39.7,5,5,3,0.128,0.6532
9,dynamic,aborted,0,3.467,12.09,0,0,0,2.0,0.6532
9,dynamic,aborted,1,25.169,146.94,14,12,5,0.251,0.5713
10,dynamic,aborted,0,9.88,40.12,0,2,0,1.163,0.5744
10,dynamic,aborted,1,10.083,30.94,3,5,0,0.458,0.5479
11,dynamic,aborted,0,7.573,19.92,0,2,0,1.061,0.634
11,dynamic,aborted,1,18.484,64.88,6,7,2,0.13,0.7515
12,dynamic,aborted,0,15.644,133.64,12,12,13,0.043,0.3991
12,dynamic,aborted,1,22.747,65.61,9,10,3,0.367,0.6324
13,dynamic,succeeded,0,43.092,107.2,7,8,3,0.208,0.4535
14,dynamic,aborted,0,14.438,42.21,3,2,1,0.054,0.8549
14,dynamic,aborted,1,4.002,10.98,3,4,0,0.837,0.5046
15,dynamic,aborted,0,4.044,11.67,1,1,0,0.712,0.4447
15,dynamic,aborted,1,0.001,0.69,0,1,0,1.142,1.1468
16,dynamic,aborted,0,8.9,23.34,1,1,1,0.204,0.573
16,dynamic,aborted,1,28.55,84.52,8,8,3,0.033,0.7092
17,dynamic,aborted,0,12.646,30.3,4,3,2,0.413,0.4345
17,dynamic,aborted,1,10.426,32.24,4,5,1,0.161,0.7232
18,dynamic,aborted,0,16.667,52.19,4,4,2,0.117,0.5707
18,dynamic,aborted,1,5.975,15.89,1,3,1,0.253,0.695
19,dynamic,succeeded,0,29.467,82.71,6,8,4,0.041,0.4605
20,dynamic,aborted,0,33.512,124.52,14,14,6,0.04,0.685
20,dynamic,aborted,1,35.453,133.05,9,18,5,0.116,0.6466
21,dynamic,aborted,0,1.802,7.83,0,0,0,2.685,1.376
21,dynamic,aborted,1,23.891,99.95,17,13,1,0.085,0.5289
22,dynamic,aborted,0,0.0,0.14,0,0,0,2.182,0.0
22,dynamic,aborted,1,35.942,121.14,15,13,7,0.126,0.5175
23,dynamic,aborted,0,13.444,71.3,6,5,7,0.105,0.3908
23,dynamic,aborted,1,14.723,40.72,5,4,1,0.06,0.4479
24,dynamic,aborted,0,39.47,121.26,9,12,3,0.068,0.5837
24,dynamic,aborted,1,24.377,67.02,8,7,3,0.088,0.6188
25,dynamic,timeout,0,27.293,213.42,18,18,7,0.041,0.313
