experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,dynamic,aborted,0,0.019,1.32,0,0,0,1.327,0.8415
1,dynamic,succeeded,1,36.767,95.07,8,10,9,0.033,0.5128
2,dynamic,succeeded,0,32.358,80.52,5,5,3,0.117,0.342
3,dynamic,succeeded,0,32.109,82.75,4,5,3,0.067,0.3543
4,dynamic,succeeded,0,32.359,80.93,5,7,3,0.073,0.3511
5,dynamic,succeeded,0,32.025,81.12,5,5,5,0.121,0.3418
6,dynamic,succeeded,0,32.061,79.09,8,8,4,0.13,0.3402
7,dynamic,succeeded,0,32.005,79.7,7,6,4,0.147,0.3407
8,dynamic,succeeded,0,32.073,79.01,7,9,2,0.097,0.3434
9,dynamic,succeeded,0,31.863,78.61,9,7,2,0.088,0.3514
10,dynamic,succeeded,0,32.065,79.33,4,7,2,0.062,0.3518
11,dynamic,succeeded,0,32.139,79.1,8,8,3,0.205,0.3367
12,dynamic,succeeded,0,32.207,80.08,5,5,3,0.071,0.341
13,dynamic,succeeded,0,32.019,79.19,6,7,4,0.117,0.3623
14,dynamic,succeeded,0,32.225,80.79,7,5,3,0.141,0.3455
15,dynamic,succeeded,0,31.955,80.51,10,4,3,0.162,0.3373
16,dynamic,succeeded,0,32.097,79.35,4,8,2,0.063,0.3452
17,dynamic,aborted,0,0.157,0.69,0,0,0,2.364,0.5586
17,dynamic,succeeded,1,35.788,88.67,11,10,1,0.117,0.3583
18,dynamic,succeeded,0,32.079,79.34,5,6,2,0.095,0.3473
19,dynamic,succeeded,0,32.109,79.24,8,6,3,0.206,0.3425
20,dynamic,succeeded,0,31.97,79.93,6,6,3,0.109,0.3786
21,dynamic,succeeded,0,32.07,81.13,6,8,3,0.033,0.3364
22,dynamic,succeeded,0,31.95,78.88,4,8,2,0.038,0.3449
23,dynamic,succeeded,0,31.987,78.96,7,5,2,0.035,0.3339
24,dynamic,succeeded,0,32.042,80.8,4,7,4,0.071,0.336
25,dynamic,succeeded,0,32.142,79.5,10,8,3,0.14,0.3463
