experiment,mode,result,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,baseline,succeeded,49.679,168.92,0,0,0,,2.8444
1,baseline,succeeded,50.2,175.64,0,0,0,,3.5866
1,baseline,succeeded,50.511,169.43,0,0,0,,3.2667
1,dynamic,succeeded,49.653,186.17,0,0,0,,3.547
1,dynamic,succeeded,50.403,183.53,0,0,0,,4.02
1,dynamic,succeeded,50.799,190.55,0,0,0,,4.1604
1,social,succeeded,50.953,208.89,0,0,0,,3.7391
1,social,aborted,37.401,191.42,0,0,0,,4.1619
2,social,interrupted,12.246,47.31,0,0,0,,3.45
1,social,aborted,36.2,141.24,0,0,0,,3.6106
2,social,succeeded,12.46,50.52,0,0,0,,3.413
1,baseline,succeeded,8.213,34.82,0,0,0,,3.8062
2,baseline,interrupted,1.709,5.93,0,0,0,,3.69
1,baseline,succeeded,8.282,33.22,0,0,0,,3.9769
2,baseline,succeeded,9.243,29.74,0,0,0,,2.9293
3,baseline,succeeded,10.341,35.15,0,0,0,,3.565
4,baseline,succeeded,10.818,41.77,0,0,0,,3.9778
5,baseline,succeeded,12.585,40.37,0,0,0,,3.4145
1,baseline,succeeded,8.166,35.13,0,0,0,,3.7359
2,baseline,succeeded,9.188,30.79,0,0,0,,2.8529
3,baseline,succeeded,10.262,33.71,0,0,0,,2.9774
4,baseline,succeeded,10.779,40.87,0,0,0,,3.5764
5,baseline,succeeded,12.424,39.9,0,0,0,,3.4261
1,dynamic,succeeded,8.471,66.11,0,0,0,1.374,14.6023
2,dynamic,succeeded,9.316,63.41,1,1,0,0.455,8.1772
3,dynamic,aborted,10.621,71.86,1,2,1,0.266,6.4925
1,dynamic,succeeded,8.42,66.55,0,0,0,1.489,7.391
2,dynamic,succeeded,9.391,83.01,1,1,1,0.442,8.7525
3,dynamic,interrupted,0.677,5.43,0,0,0,1.876,2.5086
1,dynamic,succeeded,8.375,66.07,0,0,0,1.298,3.6606
2,dynamic,aborted,2.377,13.4,0,0,0,2.319,4.1243
1,social,succeeded,8.252,63.83,0,0,0,1.204,7.2928
2,social,interrupted,0.426,4.07,0,0,0,4.268,2.7198
1,social,interrupted,0.023,4.83,0,0,0,2.236,4.0598
1,social,succeeded,8.379,67.81,0,0,0,1.321,7.3351
2,social,succeeded,9.476,76.02,1,2,1,0.407,7.2864
3,social,succeeded,10.427,90.01,1,1,0,0.583,5.5017
4,social,interrupted,7.571,65.61,1,1,0,0.694,4.5915
