experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,social,succeeded,0,37.321,105.22,11,13,3,0.056,0.4883
2,social,succeeded,0,32.426,83.22,5,6,3,0.206,0.4106
3,social,succeeded,0,32.421,82.71,4,7,3,0.25,0.4159
4,social,succeeded,0,32.368,83.0,4,7,3,0.133,0.4325
5,social,succeeded,0,32.282,82.77,4,6,6,0.083,0.4049
6,social,succeeded,0,32.603,83.37,4,6,3,0.082,0.3435
7,social,succeeded,0,32.488,83.13,4,6,4,0.212,0.3956
8,social,succeeded,0,32.218,83.37,4,5,1,0.356,0.3747
9,social,succeeded,0,32.759,84.55,3,4,0,0.618,0.4072
10,social,succeeded,0,39.192,106.52,6,9,2,0.101,0.4745
11,social,succeeded,0,32.425,82.59,5,8,4,0.16,0.4424
12,social,succeeded,0,32.413,82.97,5,6,3,0.138,0.4101
13,social,succeeded,0,32.66,83.0,4,6,3,0.284,0.367
14,social,succeeded,0,33.625,86.13,7,8,3,0.237,0.4012
15,social,succeeded,0,32.333,82.91,6,6,2,0.093,0.3807
16,social,timeout,0,23.25,227.26,21,21,16,0.055,0.2693
17,social,aborted,0,35.801,137.25,16,17,8,0.103,0.4909
17,social,succeeded,1,37.268,105.11,9,11,3,0.194,0.4304
18,social,succeeded,0,32.409,83.21,5,6,3,0.229,0.4078
19,social,succeeded,0,35.476,105.73,8,10,4,0.133,0.4662
20,social,succeeded,0,32.196,81.13,6,8,3,0.198,0.3274
21,social,aborted,0,28.531,108.01,7,8,6,0.131,0.6827
21,social,aborted,1,7.711,57.5,1,3,0,0.932,0.3461
22,social,timeout,0,0.029,231.57,0,0,0,1.75,0.2071
23,social,aborted,0,33.018,116.04,14,13,5,0.115,0.5771
23,social,succeeded,1,43.345,113.0,9,10,2,0.171,0.4205
24,social,succeeded,0,32.17,82.54,4,6,3,0.122,0.3797
25,social,succeeded,0,33.058,85.79,7,8,4,0.128,0.378
