experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,social,succeeded,0,36.129,93.97,10,17,6,0.062,0.452
2,social,succeeded,0,32.28,79.99,3,4,2,0.372,0.2393
3,social,succeeded,0,32.316,78.78,4,4,2,0.446,0.2283
4,social,succeeded,0,32.365,79.39,3,6,2,0.358,0.2308
5,social,succeeded,0,32.282,80.25,4,5,2,0.319,0.2581
6,social,succeeded,0,32.242,78.74,5,8,2,0.351,0.2386
7,social,succeeded,0,32.507,80.17,3,5,3,0.382,0.2387
8,social,succeeded,0,32.248,78.91,8,5,1,0.39,0.2125
9,social,succeeded,0,32.451,80.39,3,4,2,0.319,0.2412
10,social,succeeded,0,32.361,78.57,4,5,2,0.42,0.2359
11,social,succeeded,0,32.167,77.5,5,5,2,0.383,0.248
12,social,succeeded,0,32.204,80.56,3,6,3,0.329,0.2388
13,social,succeeded,0,32.149,80.14,3,4,2,0.268,0.2492
14,social,succeeded,0,32.341,80.6,3,4,2,0.33,0.2362
15,social,succeeded,0,32.277,79.44,3,6,1,0.354,0.2412
16,social,succeeded,0,32.113,79.03,4,6,2,0.352,0.2297
17,social,succeeded,0,32.239,79.5,3,4,2,0.316,0.2434
18,social,succeeded,0,32.109,78.04,5,7,3,0.387,0.2299
19,social,succeeded,0,32.319,79.02,3,4,2,0.344,0.2373
20,social,succeeded,0,32.345,79.17,8,4,3,0.35,0.2268
21,social,succeeded,0,32.199,77.68,7,6,2,0.393,0.2317
22,social,succeeded,0,32.138,78.9,3,6,2,0.391,0.2194
23,social,succeeded,0,32.269,79.24,3,6,4,0.37,0.2329
24,social,succeeded,0,32.111,79.43,3,4,2,0.387,0.2391
25,social,succeeded,0,32.135,78.06,3,9,2,0.411,0.2299
