experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,social_smac,succeeded,0,38.337,105.75,8,14,4,0.083,0.4157
2,social_smac,succeeded,0,34.211,162.39,16,18,12,0.062,0.2843
3,social_smac,succeeded,0,43.144,134.87,8,12,5,0.07,0.3488
4,social_smac,aborted,0,3.513,13.98,0,3,0,1.092,0.9807
4,social_smac,aborted,1,40.103,112.01,9,12,0,0.581,0.3708
5,social_smac,aborted,0,8.237,20.23,0,0,0,1.723,0.4841
5,social_smac,aborted,1,27.041,250.34,6,36,1,0.31,0.1681
6,social_smac,succeeded,0,48.545,114.66,9,13,6,0.109,0.2582
7,social_smac,succeeded,0,41.799,296.28,25,33,17,0.196,0.2137
8,social_smac,aborted,0,43.434,456.06,9,10,9,0.063,0.155
8,social_smac,succeeded,1,37.364,100.07,5,8,4,0.044,0.3184
9,social_smac,succeeded,0,44.192,218.89,22,23,18,0.051,0.268
10,social_smac,succeeded,0,33.231,90.77,5,9,1,0.316,0.2866
11,social_smac,succeeded,0,39.06,108.81,6,7,4,0.043,0.2954
12,social_smac,aborted,0,3.727,392.94,1,2,1,0.347,0.0909
12,social_smac,succeeded,1,50.417,171.71,17,18,2,0.33,0.2971
13,social_smac,aborted,0,2.77,12.43,1,2,0,0.455,0.3086
13,social_smac,aborted,1,40.244,111.12,9,13,4,0.025,0.326
14,social_smac,aborted,0,8.851,298.09,6,12,1,0.044,0.1536
14,social_smac,succeeded,1,42.903,134.52,11,12,4,0.254,0.3427
15,social_smac,succeeded,0,38.25,365.09,30,36,27,0.007,0.1488
16,social_smac,aborted,0,24.548,76.05,7,7,1,0.1,0.2483
16,social_smac,succeeded,1,40.415,151.29,8,8,2,0.187,0.3195
17,social_smac,aborted,0,3.668,80.09,1,1,0,0.574,0.0952
17,social_smac,succeeded,1,37.61,94.81,11,17,3,0.103,0.3086
18,social_smac,aborted,0,40.779,212.19,17,21,6,0.07,0.3405
18,social_smac,succeeded,1,39.983,131.98,12,15,9,0.074,0.2979
19,social_smac,succeeded,0,37.498,139.55,14,20,6,0.095,0.2186
20,social_smac,timeout,0,13.709,456.67,45,49,5,0.049,0.1009
21,social_smac,aborted,0,56.272,188.96,15,20,5,0.053,0.2822
21,social_smac,succeeded,1,39.492,105.93,6,10,1,0.277,0.2653
22,social_smac,aborted,0,16.959,110.41,8,13,7,0.044,0.2714
22,social_smac,succeeded,1,42.668,122.89,9,10,3,0.243,0.3147
23,social_smac,aborted,0,12.404,73.3,7,7,5,0.217,0.1391
23,social_smac,succeeded,1,37.372,99.84,5,8,2,0.143,0.2738
24,social_smac,aborted,0,37.418,140.86,15,15,3,0.404,0.2734
24,social_smac,timeout,1,17.933,500.92,1,1,1,0.274,0.0942
25,social_smac,aborted,0,41.15,153.68,4,8,3,0.039,0.3111
25,social_smac,aborted,1,40.418,105.82,5,9,1,0.302,0.2706
