experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,dynamic,succeeded,0,36.424,161.91,11,12,7,0.095,0.3024
1,dynamic,succeeded,0,36.936,296.37,19,21,9,0.1,0.3788
2,dynamic,succeeded,0,32.172,185.61,14,17,6,0.055,0.2962
3,dynamic,succeeded,0,32.166,188.01,17,19,6,0.065,0.3058
4,dynamic,succeeded,0,32.247,188.14,13,21,7,0.011,0.2885
5,dynamic,succeeded,0,32.25,187.16,11,16,7,0.065,0.2917
6,dynamic,succeeded,0,32.055,181.85,11,13,4,0.029,0.338
7,dynamic,succeeded,0,31.922,181.31,6,7,4,0.084,0.2928
8,dynamic,succeeded,0,31.828,177.65,5,5,1,0.241,0.2868
9,dynamic,succeeded,0,31.776,178.72,5,6,1,0.202,0.2893
10,dynamic,succeeded,0,31.636,176.67,4,5,0,0.481,0.3132
11,dynamic,succeeded,0,31.946,176.28,4,5,1,0.361,0.2937
12,dynamic,succeeded,0,31.916,177.64,3,5,2,0.135,0.2759
13,dynamic,succeeded,0,31.853,178.35,1,3,2,0.027,0.2893
14,dynamic,succeeded,0,31.985,176.58,1,2,2,0.218,0.2896
15,dynamic,succeeded,0,32.25,179.39,1,1,0,0.468,0.2892
16,dynamic,succeeded,0,31.965,180.69,2,1,1,0.326,0.2929
17,dynamic,succeeded,0,32.026,178.95,1,1,0,0.587,0.3029
18,dynamic,succeeded,0,31.907,178.42,1,1,0,0.897,0.3008
19,dynamic,succeeded,0,32.129,182.74,0,0,0,1.707,0.3002
20,dynamic,succeeded,0,31.888,175.66,0,0,0,1.672,0.2897
21,dynamic,succeeded,0,31.972,173.58,0,0,0,2.642,0.2799
22,dynamic,aborted,0,21.719,119.05,0,0,0,3.049,0.2788
22,dynamic,succeeded,1,35.83,196.52,0,0,0,3.461,0.3006
23,dynamic,succeeded,0,31.928,176.65,0,0,0,3.717,0.2745
24,dynamic,succeeded,0,31.985,173.99,0,0,0,4.139,0.2792
25,dynamic,succeeded,0,31.977,173.08,0,0,0,4.397,0.2727
