experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,baseline,succeeded,0,36.28,166.38,0,0,0,,0.274
2,baseline,succeeded,0,32.343,141.64,0,0,0,,0.2539
3,baseline,succeeded,0,32.358,132.8,0,0,0,,0.2595
4,baseline,succeeded,0,32.301,133.18,0,0,0,,0.233
5,baseline,aborted,0,18.966,74.84,0,0,0,,0.2338
5,baseline,succeeded,1,36.161,151.21,0,0,0,,0.2631
6,baseline,succeeded,0,32.119,132.19,0,0,0,,0.2517
7,baseline,succeeded,0,32.163,128.91,0,0,0,,0.2414
8,baseline,succeeded,0,32.015,130.71,0,0,0,,0.2509
9,baseline,succeeded,0,32.02,130.04,0,0,0,,0.2523
10,baseline,succeeded,0,32.202,129.2,0,0,0,,0.2472
11,baseline,succeeded,0,32.017,128.13,0,0,0,,0.2398
12,baseline,succeeded,0,32.047,130.67,0,0,0,,0.2421
13,baseline,succeeded,0,32.154,130.0,0,0,0,,0.244
14,baseline,succeeded,0,32.312,127.86,0,0,0,,0.2367
15,baseline,succeeded,0,32.169,128.52,0,0,0,,0.2393
16,baseline,succeeded,0,32.177,129.3,0,0,0,,0.2385
17,baseline,succeeded,0,32.438,131.74,0,0,0,,0.2429
18,baseline,succeeded,0,32.281,131.57,0,0,0,,0.254
19,baseline,succeeded,0,32.161,132.92,0,0,0,,0.2486
20,baseline,succeeded,0,32.23,130.41,0,0,0,,0.2476
21,baseline,succeeded,0,32.216,128.08,0,0,0,,0.241
22,baseline,succeeded,0,32.498,128.04,0,0,0,,0.2385
23,baseline,succeeded,0,32.34,130.39,0,0,0,,0.2613
24,baseline,succeeded,0,32.311,126.45,0,0,0,,0.2459
25,baseline,succeeded,0,32.114,129.7,0,0,0,,0.2385
1,dynamic,succeeded,0,36.522,323.47,22,25,5,0.1,0.4912
2,dynamic,succeeded,0,32.756,186.69,13,14,4,0.126,0.3358
3,dynamic,succeeded,0,32.856,196.91,8,11,7,0.033,0.3949
4,dynamic,succeeded,0,32.934,182.44,8,9,1,0.137,0.3291
5,dynamic,succeeded,0,32.619,201.51,5,7,1,0.329,0.3591
6,dynamic,succeeded,0,32.456,185.7,3,5,1,0.297,0.328
7,dynamic,succeeded,0,33.578,205.99,5,11,2,0.108,0.3824
8,dynamic,succeeded,0,32.724,197.53,8,10,0,0.524,0.343
9,dynamic,aborted,0,4.608,27.89,1,2,1,0.396,0.4052
9,dynamic,succeeded,1,36.404,205.07,5,6,4,0.063,0.3579
10,dynamic,succeeded,0,32.7,214.92,7,9,6,0.049,0.3492
11,dynamic,succeeded,0,32.88,206.07,10,15,4,0.096,0.3518
12,dynamic,succeeded,0,32.591,184.89,8,12,6,0.049,0.3454
13,dynamic,succeeded,0,32.665,180.32,10,10,4,0.194,0.3343
14,dynamic,succeeded,0,32.514,193.96,11,11,6,0.174,0.3756
15,dynamic,succeeded,0,32.512,180.34,8,8,10,0.045,0.3294
16,dynamic,succeeded,0,32.384,178.31,10,10,1,0.075,0.3324
17,dynamic,succeeded,0,33.163,189.52,6,6,2,0.392,0.3766
18,dynamic,succeeded,0,32.56,191.21,6,7,3,0.14,0.3468
19,dynamic,succeeded,0,32.38,176.2,7,6,2,0.12,0.3175
20,dynamic,succeeded,0,32.71,187.16,14,14,10,0.101,0.359
21,dynamic,aborted,0,0.0,4.57,0,0,0,2.109,0.315
21,dynamic,succeeded,1,36.503,206.35,8,8,2,0.159,0.3657
22,dynamic,succeeded,0,33.718,205.7,10,12,7,0.088,0.349
23,dynamic,succeeded,0,32.374,193.45,9,11,5,0.013,0.3618
24,dynamic,succeeded,0,34.045,259.12,19,19,3,0.068,0.4102
25,dynamic,succeeded,0,33.018,198.68,4,5,2,0.294,0.3871
1,social,succeeded,0,36.715,289.52,17,13,8,0.03,0.4108
2,social,succeeded,0,32.393,191.51,11,14,9,0.037,0.2977
3,social,succeeded,0,32.201,182.45,6,6,4,0.143,0.2886
4,social,succeeded,0,32.071,176.9,1,2,1,0.22,0.289
5,social,succeeded,0,32.317,180.3,1,1,1,0.362,0.3025
6,social,succeeded,0,32.043,194.63,0,2,0,1.102,0.299
7,social,succeeded,0,32.333,195.59,1,1,0,0.705,0.3183
8,social,succeeded,0,32.267,176.37,0,0,0,1.912,0.286
9,social,succeeded,0,32.282,184.37,0,0,0,2.614,0.3144
10,social,succeeded,0,32.468,190.43,0,0,0,3.574,0.3234
11,social,succeeded,0,32.256,185.56,0,0,0,4.329,0.3194
12,social,succeeded,0,32.323,186.16,0,0,0,4.79,0.3147
13,social,succeeded,0,32.405,179.92,0,0,0,6.646,0.3228
14,social,succeeded,0,32.372,174.44,0,0,0,10.897,0.2826
15,social,succeeded,0,32.299,182.9,0,0,0,11.382,0.3056
16,social,succeeded,0,32.6,174.78,0,0,0,13.687,0.2855
17,social,succeeded,0,32.328,176.33,0,0,0,14.38,0.2784
18,social,succeeded,0,32.191,173.85,0,0,0,14.522,0.3082
19,social,succeeded,0,32.17,169.45,0,0,0,15.989,0.2929
20,social,succeeded,0,32.237,173.8,0,0,0,16.279,0.2783
21,social,succeeded,0,32.276,171.33,0,0,0,16.442,0.2933
22,social,succeeded,0,32.553,177.18,0,0,0,17.036,0.3162
23,social,succeeded,0,31.945,173.22,0,0,0,17.592,0.283
24,social,succeeded,0,32.359,180.19,0,0,0,18.199,0.2728
25,social,succeeded,0,32.427,173.22,0,0,0,18.586,0.2885
1,social_astar,succeeded,0,35.548,271.58,17,22,9,0.048,0.4002
2,social_astar,succeeded,0,32.167,180.04,14,15,10,0.013,0.2846
3,social_astar,succeeded,0,32.037,173.26,8,11,4,0.143,0.2733
4,social_astar,succeeded,0,32.182,173.75,10,14,3,0.227,0.291
5,social_astar,succeeded,0,32.031,177.7,5,7,2,0.32,0.2776
6,social_astar,succeeded,0,32.012,174.42,2,2,1,0.194,0.2717
7,social_astar,succeeded,0,31.924,172.1,1,1,0,0.592,0.2745
8,social_astar,succeeded,0,31.696,178.34,0,0,0,2.063,0.3162
9,social_astar,aborted,0,15.478,101.68,0,0,0,2.634,0.3033
9,social_astar,succeeded,1,35.928,242.82,9,6,3,0.07,0.3736
10,social_astar,aborted,0,18.792,143.79,0,4,0,1.045,0.3771
10,social_astar,succeeded,1,35.739,247.29,0,0,0,5.45,0.3448
11,social_astar,succeeded,0,32.268,206.94,0,0,0,4.629,0.3015
12,social_astar,succeeded,0,31.91,200.0,0,0,0,3.917,0.3312
13,social_astar,succeeded,0,31.994,200.77,0,0,0,3.48,0.3099
14,social_astar,succeeded,0,31.853,191.85,0,0,0,2.43,0.2898
15,social_astar,succeeded,0,32.096,202.41,0,0,0,3.457,0.3275
16,social_astar,succeeded,0,32.077,207.88,0,0,0,3.879,0.3217
17,social_astar,succeeded,0,31.807,189.15,0,0,0,4.043,0.2959
18,social_astar,succeeded,0,32.229,198.51,0,0,0,4.348,0.3288
19,social_astar,succeeded,0,31.931,192.41,0,0,0,4.529,0.2826
20,social_astar,succeeded,0,32.089,194.02,0,0,0,4.668,0.3096
21,social_astar,succeeded,0,31.699,197.73,0,0,0,5.033,0.3172
22,social_astar,aborted,0,16.291,106.04,0,0,0,7.37,0.2593
22,social_astar,aborted,1,0.0,1.04,0,0,0,7.044,0.0
23,social_astar,aborted,0,0.0,1.0,0,0,0,6.514,0.0
23,social_astar,aborted,1,0.0,1.75,0,0,0,6.243,0.0
24,social_astar,aborted,0,0.0,1.75,0,0,0,6.285,0.0
24,social_astar,aborted,1,0.0,2.34,0,0,0,6.869,0.0
25,social_astar,aborted,0,0.0,1.8,0,0,0,6.369,0.0
25,social_astar,aborted,1,0.0,1.61,0,0,0,6.243,0.0
