experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,baseline,succeeded,0,36.141,175.18,0,0,0,,0.2934
2,baseline,succeeded,0,32.359,154.42,0,0,0,,0.2767
3,baseline,succeeded,0,32.108,153.74,0,0,0,,0.2645
4,baseline,succeeded,0,32.465,155.71,0,0,0,,0.2805
5,baseline,succeeded,0,32.308,155.93,0,0,0,,0.273
1,dynamic,succeeded,0,36.547,409.92,23,26,8,0.021,0.5247
2,dynamic,succeeded,0,32.67,321.03,9,10,1,0.143,0.4257
3,dynamic,succeeded,0,33.315,349.25,27,33,5,0.274,0.3983
4,dynamic,succeeded,0,33.509,349.87,23,31,5,0.093,0.3816
5,dynamic,succeeded,0,33.294,416.91,6,38,2,0.045,0.3855
1,social,succeeded,0,36.136,376.81,22,23,14,0.075,0.4221
2,social,succeeded,0,32.59,205.04,14,15,9,0.098,0.2941
3,social,succeeded,0,32.117,222.68,23,23,14,0.038,0.3463
4,social,succeeded,0,32.259,229.37,7,7,1,0.048,0.351
5,social,succeeded,0,32.209,227.15,1,4,0,0.794,0.3604
