experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,dynamic,succeeded,0,36.891,329.97,23,29,10,0.01,0.4733
2,dynamic,succeeded,0,32.256,217.09,11,21,5,0.058,0.3695
3,dynamic,succeeded,0,32.78,208.91,13,18,12,0.092,0.3719
4,dynamic,succeeded,0,32.584,211.05,12,16,4,0.182,0.3614
5,dynamic,succeeded,0,32.583,221.32,22,21,6,0.034,0.3494
6,dynamic,succeeded,0,33.156,222.42,9,10,2,0.05,0.3923
7,dynamic,succeeded,0,32.716,202.18,4,5,1,0.074,0.3623
8,dynamic,succeeded,0,32.402,238.34,14,14,1,0.268,0.3964
9,dynamic,succeeded,0,32.499,207.31,4,5,2,0.091,0.3713
10,dynamic,succeeded,0,32.739,207.23,7,7,5,0.084,0.3605
11,dynamic,succeeded,0,32.979,218.82,6,5,4,0.274,0.363
12,dynamic,succeeded,0,32.504,204.01,4,6,5,0.258,0.3531
13,dynamic,succeeded,0,32.612,211.57,8,7,5,0.304,0.3767
14,dynamic,succeeded,0,32.357,206.88,3,3,1,0.093,0.3912
15,dynamic,succeeded,0,32.243,212.12,9,11,5,0.232,0.3666
16,dynamic,succeeded,0,32.543,200.88,8,8,1,0.141,0.3378
17,dynamic,succeeded,0,33.222,234.67,6,8,2,0.167,0.3921
18,dynamic,succeeded,0,32.318,206.52,5,5,3,0.074,0.3531
19,dynamic,succeeded,0,32.293,197.4,5,4,2,0.023,0.3156
20,dynamic,succeeded,0,32.802,212.11,2,4,1,0.245,0.3372
21,dynamic,succeeded,0,32.527,212.77,0,0,0,1.235,0.3588
22,dynamic,succeeded,0,32.611,203.78,0,0,0,1.334,0.3423
23,dynamic,succeeded,0,32.649,201.57,0,0,0,2.088,0.3721
24,dynamic,succeeded,0,33.514,240.04,0,0,0,2.288,0.3855
25,dynamic,succeeded,0,32.741,201.92,0,0,0,2.604,0.3346
