experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,social,succeeded,0,36.075,338.16,27,22,10,0.062,0.4033
2,social,succeeded,0,32.382,208.98,18,25,8,0.018,0.3428
3,social,succeeded,0,32.34,204.45,12,18,3,0.112,0.3333
4,social,succeeded,0,31.934,187.89,8,13,1,0.12,0.3116
5,social,succeeded,0,32.059,192.63,5,7,2,0.347,0.2705
6,social,succeeded,0,32.438,201.52,2,4,0,0.854,0.3149
7,social,succeeded,0,32.225,197.37,1,2,1,0.434,0.2905
8,social,succeeded,0,32.231,197.03,1,1,0,0.832,0.2873
9,social,succeeded,0,32.311,197.7,0,0,0,2.427,0.2956
10,social,succeeded,0,32.172,197.94,0,0,0,3.369,0.308
11,social,succeeded,0,32.124,199.54,0,0,0,4.232,0.2848
12,social,succeeded,0,32.087,190.92,0,0,0,5.26,0.2948
13,social,succeeded,0,32.041,190.44,0,0,0,6.191,0.2975
14,social,succeeded,0,32.248,198.25,0,0,0,7.754,0.3194
15,social,succeeded,0,32.313,188.4,0,0,0,7.262,0.2941
16,social,succeeded,0,32.308,190.97,0,0,0,9.802,0.2737
17,social,succeeded,0,32.253,189.62,0,0,0,10.843,0.3004
18,social,succeeded,0,32.168,198.15,0,0,0,11.995,0.3213
19,social,succeeded,0,32.235,187.02,0,0,0,12.418,0.2819
20,social,succeeded,0,32.137,188.74,0,0,0,13.491,0.3
21,social,succeeded,0,32.126,191.4,0,0,0,14.598,0.291
22,social,succeeded,0,32.195,183.91,0,0,0,15.459,0.285
23,social,succeeded,0,32.085,194.4,0,0,0,16.56,0.3169
24,social,succeeded,0,31.958,185.19,0,0,0,17.476,0.2784
25,social,succeeded,0,32.071,189.68,0,0,0,18.574,0.2882
