experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,social_astar,aborted,0,3.934,131.03,4,8,0,0.53,0.8431
1,social_astar,aborted,1,0.304,17.32,4,4,1,0.41,0.752
2,social_astar,aborted,0,5.253,63.56,2,2,1,0.127,0.5106
2,social_astar,aborted,1,6.818,77.24,6,6,3,0.273,0.4145
3,social_astar,succeeded,0,31.76,268.77,3,3,2,0.116,0.3685
4,social_astar,succeeded,0,32.303,268.78,8,6,4,0.311,0.3747
5,social_astar,aborted,0,11.147,105.13,4,6,2,0.143,0.4034
5,social_astar,aborted,1,9.247,82.34,4,5,4,0.066,0.4241
6,social_astar,aborted,0,12.13,109.85,5,3,4,0.152,0.3835
6,social_astar,aborted,1,9.039,82.04,0,0,0,6.036,0.4502
7,social_astar,succeeded,0,31.916,255.87,0,0,0,4.301,0.4273
8,social_astar,succeeded,0,32.433,231.45,0,0,0,3.184,0.3414
9,social_astar,succeeded,0,32.418,269.23,0,0,0,2.707,0.3537
10,social_astar,succeeded,0,32.333,276.6,0,0,0,1.491,0.3653
11,social_astar,aborted,0,3.756,39.95,0,0,0,1.723,0.3678
11,social_astar,aborted,1,14.071,121.26,0,1,0,1.026,0.4031
12,social_astar,aborted,0,25.089,209.97,0,2,0,1.008,0.3793
12,social_astar,succeeded,1,36.112,296.9,22,24,8,0.066,0.4344
13,social_astar,aborted,0,8.601,70.71,3,3,5,0.131,0.4243
13,social_astar,aborted,1,15.389,133.09,6,7,0,0.487,0.4029
14,social_astar,succeeded,0,37.633,311.77,12,13,5,0.088,0.3782
15,social_astar,aborted,0,11.027,93.25,5,6,1,0.212,0.3724
15,social_astar,succeeded,1,36.192,303.61,6,8,7,0.031,0.3951
16,social_astar,aborted,0,13.249,119.02,10,9,1,0.338,0.3535
16,social_astar,succeeded,1,36.028,294.3,7,10,5,0.049,0.3518
17,social_astar,succeeded,0,32.445,270.38,12,10,6,0.051,0.3527
18,social_astar,aborted,0,19.118,159.2,4,8,2,0.302,0.4047
18,social_astar,succeeded,1,36.22,289.21,0,0,0,4.538,0.3687
19,social_astar,aborted,0,30.128,230.46,0,0,0,5.132,0.3619
19,social_astar,succeeded,1,36.301,308.64,0,0,0,6.844,0.3529
20,social_astar,succeeded,0,32.364,268.39,0,0,0,6.635,0.3419
21,social_astar,aborted,0,13.817,113.22,0,0,0,6.151,0.3527
21,social_astar,aborted,1,13.989,113.81,0,0,0,8.255,0.4327
22,social_astar,succeeded,0,36.919,305.96,0,0,0,5.949,0.3834
23,social_astar,succeeded,0,32.175,250.71,0,0,0,5.437,0.3705
24,social_astar,succeeded,0,32.393,171.46,0,0,0,4.405,0.2771
25,social_astar,aborted,0,18.55,96.79,0,0,0,4.04,0.2677
25,social_astar,succeeded,1,36.5,196.9,0,0,0,5.62,0.3042
