experiment,mode,result,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,baseline,succeeded,8.237,33.82,0,0,0,,3.8185
2,baseline,succeeded,9.26,34.47,0,0,0,,4.2871
3,baseline,succeeded,10.262,37.75,0,0,0,,3.1879
4,baseline,succeeded,10.855,43.8,0,0,0,,4.5333
5,baseline,succeeded,12.473,46.17,0,0,0,,2.9209
1,baseline,succeeded,8.24,36.44,0,0,0,,3.6099
2,baseline,succeeded,9.214,35.16,0,0,0,,2.7959
3,baseline,succeeded,10.314,39.33,0,0,0,,5.12
4,baseline,succeeded,10.839,43.82,0,0,0,,3.4248
5,baseline,succeeded,12.5,43.2,0,0,0,,2.9047
1,baseline,succeeded,8.22,34.08,0,0,0,,4.6855
2,baseline,succeeded,9.294,33.13,0,0,0,,2.911
3,baseline,interrupted,0.796,3.39,0,0,0,,3.7314
1,baseline,succeeded,8.198,33.46,0,0,0,,4.0514
2,baseline,succeeded,9.285,33.28,0,0,0,,2.8057
3,baseline,succeeded,10.25,38.99,0,0,0,,3.3256
4,baseline,succeeded,10.8,43.02,0,0,0,,4.3555
5,baseline,succeeded,12.621,44.27,0,0,0,,5.1948
1,baseline,succeeded,8.24,34.3,0,0,0,,3.4723
2,baseline,succeeded,9.337,32.35,0,0,0,,2.6304
3,baseline,interrupted,0.907,3.81,0,0,0,,4.5801
1,dynamic,succeeded,8.367,54.17,0,0,0,1.373,6.9665
2,dynamic,succeeded,9.399,53.34,1,1,1,0.442,4.6054
3,dynamic,succeeded,10.519,75.29,1,1,1,0.315,4.2318
4,dynamic,succeeded,10.808,103.6,1,1,0,0.512,4.6655
5,dynamic,interrupted,1.855,11.96,0,0,0,2.633,3.1638
1,dynamic,aborted,8.31,66.67,0,0,0,1.379,9.8443
1,dynamic,succeeded,8.302,75.74,0,0,0,1.475,6.15
2,dynamic,succeeded,9.464,66.77,1,1,1,0.276,7.3778
3,dynamic,interrupted,0.399,3.21,0,0,0,2.222,4.9208
1,dynamic,interrupted,0.031,4.96,0,0,0,1.458,6.2021
1,social,succeeded,8.351,76.53,0,0,0,1.337,10.0972
2,social,succeeded,9.412,72.76,1,2,0,0.609,5.3179
3,social,succeeded,10.272,99.39,2,2,2,0.16,4.9121
4,social,interrupted,5.906,51.07,1,3,0,0.849,5.0614
1,social,succeeded,8.273,76.51,0,0,0,1.362,10.3074
2,social,interrupted,0.324,3.33,0,0,0,4.66,10.3632
1,social,interrupted,0.032,5.94,0,0,0,2.414,26.6452
1,social,aborted,7.03,56.37,0,0,0,1.368,16.0077
1,social,succeeded,8.572,87.7,0,0,0,1.49,11.2947
2,social,succeeded,9.54,122.59,1,1,1,0.153,8.7723
3,social,interrupted,0.0,5.62,0,0,0,2.811,2.2209
