experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,social,succeeded,0,36.185,89.33,8,9,3,0.128,0.321
2,social,succeeded,0,32.293,84.2,5,7,3,0.373,0.199
3,social,succeeded,0,32.127,82.77,4,4,2,0.327,0.2573
4,social,succeeded,0,32.318,80.71,4,4,2,0.412,0.2453
5,social,succeeded,0,32.446,82.23,4,5,2,0.446,0.2498
6,social,succeeded,0,32.247,79.81,4,5,2,0.358,0.2286
7,social,succeeded,0,32.409,80.98,4,5,1,0.425,0.2241
8,social,succeeded,0,32.234,81.23,4,4,2,0.421,0.2245
9,social,succeeded,0,32.022,80.18,4,5,1,0.432,0.2253
10,social,succeeded,0,32.168,80.39,4,5,1,0.429,0.23
11,social,succeeded,0,32.281,80.37,4,5,1,0.418,0.2351
12,social,succeeded,0,32.13,82.01,4,5,2,0.365,0.2347
13,social,succeeded,0,32.191,80.02,4,6,0,0.452,0.2484
14,social,succeeded,0,32.226,80.96,4,5,0,0.456,0.2347
15,social,succeeded,0,32.307,80.8,4,5,2,0.427,0.2262
16,social,succeeded,0,32.048,80.72,4,5,2,0.445,0.2234
17,social,succeeded,0,32.034,80.51,4,7,1,0.414,0.2412
18,social,interrupted,0,14.11,35.4,2,2,1,0.41,0.2219
