experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,social,succeeded,0,36.139,261.5,18,19,10,0.098,0.3915
2,social,succeeded,0,32.143,189.5,15,14,9,0.049,0.3077
3,social,succeeded,0,32.314,201.18,9,10,4,0.025,0.2925
4,social,succeeded,0,32.179,187.6,2,3,1,0.392,0.2948
5,social,succeeded,0,32.235,187.02,0,0,0,2.099,0.2881
6,social,succeeded,0,31.835,182.68,0,0,0,2.224,0.2683
7,social,succeeded,0,32.108,187.29,0,0,0,2.779,0.3048
8,social,succeeded,0,32.246,183.17,0,0,0,4.454,0.2935
9,social,succeeded,0,32.011,182.74,0,0,0,4.705,0.2774
10,social,succeeded,0,32.317,188.24,0,0,0,5.026,0.2872
11,social,succeeded,0,32.372,177.13,0,0,0,5.143,0.2831
12,social,succeeded,0,32.379,187.18,0,0,0,5.721,0.3246
13,social,succeeded,0,32.343,171.76,0,0,0,8.757,0.2866
14,social,succeeded,0,32.22,169.84,0,0,0,9.332,0.2676
15,social,succeeded,0,32.451,171.17,0,0,0,9.746,0.2851
16,social,succeeded,0,32.201,169.14,0,0,0,11.598,0.2664
17,social,succeeded,0,32.279,168.77,0,0,0,12.514,0.2653
18,social,succeeded,0,32.128,169.28,0,0,0,13.062,0.2707
19,social,succeeded,0,31.978,169.19,0,0,0,14.188,0.2868
20,social,succeeded,0,31.898,165.79,0,0,0,15.018,0.2631
21,social,succeeded,0,32.05,167.29,0,0,0,15.475,0.2624
22,social,succeeded,0,32.1,178.24,0,0,0,16.344,0.2872
23,social,succeeded,0,32.268,178.31,0,0,0,16.621,0.2989
24,social,succeeded,0,32.027,179.85,0,0,0,17.891,0.2994
25,social,succeeded,0,31.965,177.03,0,0,0,19.348,0.2712
