experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,social_astar,succeeded,0,37.485,140.53,10,15,7,0.067,0.2761
2,social_astar,succeeded,0,34.238,115.06,13,12,5,0.286,0.2807
3,social_astar,aborted,0,3.294,9.15,2,2,0,0.633,0.5081
3,social_astar,succeeded,1,37.444,103.74,6,8,3,0.19,0.2818
4,social_astar,timeout,0,26.104,263.24,9,12,8,0.217,0.1605
5,social_astar,aborted,0,35.081,92.0,8,9,5,0.2,0.3301
5,social_astar,succeeded,1,38.657,131.45,12,16,6,0.032,0.2231
6,social_astar,succeeded,0,32.31,126.63,14,18,6,0.125,0.2103
7,social_astar,timeout,0,2.972,289.62,3,6,1,0.104,0.1135
8,social_astar,succeeded,0,36.774,100.52,5,6,2,0.243,0.2114
9,social_astar,succeeded,0,33.782,82.91,7,8,1,0.391,0.2379
10,social_astar,succeeded,0,32.21,113.68,8,11,10,0.24,0.1933
11,social_astar,succeeded,0,32.788,87.19,8,14,6,0.063,0.2593
12,social_astar,succeeded,0,32.574,126.89,11,15,9,0.09,0.2236
13,social_astar,aborted,0,22.181,133.9,12,14,10,0.038,0.2082
13,social_astar,succeeded,1,36.489,101.15,4,9,0,0.545,0.2069
14,social_astar,timeout,0,24.716,300.69,13,17,9,0.144,0.1497
15,social_astar,succeeded,0,37.045,170.39,21,21,13,0.011,0.2069
16,social_astar,aborted,0,2.696,71.73,10,12,5,0.098,0.1126
16,social_astar,succeeded,1,36.562,99.23,4,10,3,0.203,0.1936
17,social_astar,succeeded,0,32.594,92.38,11,14,6,0.224,0.1993
18,social_astar,succeeded,0,32.088,112.97,8,12,7,0.166,0.1785
19,social_astar,succeeded,0,32.595,126.49,11,16,7,0.043,0.1649
20,social_astar,succeeded,0,32.791,101.03,11,10,6,0.015,0.193
21,social_astar,succeeded,0,34.259,100.18,7,18,11,0.102,0.1894
22,social_astar,succeeded,0,32.865,113.59,8,11,4,0.293,0.183
23,social_astar,succeeded,0,32.398,103.87,9,14,3,0.134,0.1765
24,social_astar,succeeded,0,33.876,101.5,9,10,5,0.094,0.1958
25,social_astar,succeeded,0,35.209,100.55,9,9,4,0.034,0.192
