experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,social,succeeded,0,36.334,118.41,8,15,2,0.055,0.3284
2,social,timeout,0,30.879,146.04,12,21,8,0.027,0.3205
3,social,succeeded,0,36.978,105.13,9,11,3,0.232,0.3639
4,social,timeout,0,19.616,149.97,22,22,4,0.062,0.205
5,social,succeeded,0,36.199,95.5,12,14,3,0.11,0.2864
6,social,succeeded,0,31.968,130.32,10,13,7,0.3,0.2603
7,social,aborted,0,24.98,102.14,11,10,8,0.065,0.3891
7,social,succeeded,1,36.174,106.96,7,11,5,0.245,0.2841
8,social,succeeded,0,32.206,86.4,7,8,5,0.128,0.257
9,social,succeeded,0,33.401,94.06,8,16,4,0.281,0.3215
10,social,aborted,0,16.207,40.94,2,2,2,0.171,0.3243
10,social,succeeded,1,36.329,95.14,8,10,5,0.228,0.2526
11,social,succeeded,0,32.35,81.72,4,4,0,0.519,0.2419
12,social,succeeded,0,32.205,84.88,5,6,3,0.09,0.2237
13,social,succeeded,0,32.275,125.49,12,16,2,0.373,0.2411
14,social,succeeded,0,32.085,82.57,5,7,0,0.548,0.2283
15,social,succeeded,0,34.482,106.2,9,14,2,0.329,0.2468
16,social,aborted,0,19.362,67.2,6,6,5,0.026,0.3516
16,social,succeeded,1,36.744,104.37,6,10,5,0.068,0.2325
17,social,timeout,0,25.129,210.49,8,12,10,0.223,0.1779
18,social,succeeded,0,37.638,111.33,9,16,1,0.221,0.2289
19,social,succeeded,0,32.221,82.16,5,6,0,0.602,0.2233
20,social,timeout,0,3.044,215.56,1,3,0,0.48,0.1191
21,social,succeeded,0,36.086,102.16,7,11,4,0.046,0.209
22,social,aborted,0,31.507,106.79,12,15,5,0.251,0.2669
22,social,timeout,1,20.9,217.95,4,5,2,0.067,0.171
23,social,succeeded,0,36.517,102.41,7,7,3,0.054,0.2087
24,social,succeeded,0,32.446,126.68,11,16,6,0.017,0.2109
25,social,succeeded,0,32.357,115.38,8,13,7,0.291,0.1915
