experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
1,social_smac,succeeded,0,37.826,103.77,4,15,2,0.089,0.3862
2,social_smac,succeeded,0,34.355,104.82,4,6,2,0.26,0.3572
3,social_smac,aborted,0,29.937,94.91,7,7,3,0.243,0.3593
3,social_smac,aborted,1,37.777,128.84,9,16,5,0.222,0.455
4,social_smac,aborted,0,0.044,3.28,0,0,0,1.405,1.0581
4,social_smac,succeeded,1,37.703,102.58,9,11,3,0.116,0.3708
5,social_smac,succeeded,0,38.318,112.25,10,13,3,0.299,0.353
6,social_smac,aborted,0,3.855,18.57,1,3,1,0.396,0.3588
6,social_smac,succeeded,1,37.666,95.06,10,15,5,0.086,0.3791
7,social_smac,succeeded,0,33.951,93.13,4,4,1,0.327,0.3068
8,social_smac,succeeded,0,34.765,102.75,4,8,4,0.056,0.3686
9,social_smac,aborted,0,20.356,78.9,4,4,1,0.217,0.4021
9,social_smac,succeeded,1,40.959,141.47,11,14,2,0.162,0.3585
10,social_smac,aborted,0,4.409,13.23,1,1,0,0.995,0.4617
10,social_smac,succeeded,1,37.902,104.86,8,9,3,0.105,0.3135
11,social_smac,aborted,0,11.806,29.92,2,4,2,0.266,0.4031
11,social_smac,succeeded,1,39.264,111.34,12,11,3,0.156,0.329
12,social_smac,aborted,0,35.538,103.4,7,8,4,0.074,0.3537
12,social_smac,succeeded,1,41.021,173.59,10,13,3,0.378,0.3528
13,social_smac,timeout,0,12.765,210.06,35,29,3,0.17,0.1568
14,social_smac,succeeded,0,37.415,105.31,6,12,3,0.172,0.3248
15,social_smac,succeeded,0,35.884,104.14,8,10,3,0.024,0.3155
16,social_smac,timeout,0,3.242,210.1,0,2,0,1.174,0.1328
17,social_smac,timeout,0,48.938,206.64,21,23,9,0.154,0.2683
18,social_smac,succeeded,0,44.854,124.19,6,10,8,0.107,0.3147
19,social_smac,aborted,0,14.313,42.66,1,6,1,0.192,0.4389
19,social_smac,aborted,1,42.085,123.29,11,12,7,0.1,0.339
20,social_smac,timeout,0,39.788,221.05,34,35,7,0.025,0.1859
21,social_smac,succeeded,0,39.965,137.23,6,8,0,0.633,0.3486
22,social_smac,aborted,0,7.009,36.44,2,2,1,0.199,0.2981
22,social_smac,succeeded,1,43.477,134.07,8,11,5,0.102,0.2709
23,social_smac,aborted,0,22.572,275.15,11,9,7,0.057,0.1427
23,social_smac,timeout,1,45.035,300.9,33,38,16,0.032,0.1642
24,social_smac,aborted,0,13.388,38.37,1,1,1,0.267,0.3072
24,social_smac,succeeded,1,41.239,120.94,7,9,4,0.087,0.2381
25,social_smac,succeeded,0,33.392,206.68,15,19,8,0.097,0.1467
