source_csv,raw_row_in_source,is_final_for_experiment,quality_flag,experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration
/home/dx/ros2_ws/A/dyn_reset_clean.csv,1,0,,1,dynamic,succeeded,0,36.424,161.91,11,12,7,0.095,0.3024
/home/dx/ros2_ws/A/dyn_reset_clean.csv,2,1,duplicate_experiment_attempt,1,dynamic,succeeded,0,36.936,296.37,19,21,9,0.1,0.3788
/home/dx/ros2_ws/A/dyn_reset_clean.csv,3,1,,2,dynamic,succeeded,0,32.172,185.61,14,17,6,0.055,0.2962
/home/dx/ros2_ws/A/dyn_reset_clean.csv,4,1,,3,dynamic,succeeded,0,32.166,188.01,17,19,6,0.065,0.3058
/home/dx/ros2_ws/A/dyn_reset_clean.csv,5,1,,4,dynamic,succeeded,0,32.247,188.14,13,21,7,0.011,0.2885
/home/dx/ros2_ws/A/dyn_reset_clean.csv,6,1,,5,dynamic,succeeded,0,32.25,187.16,11,16,7,0.065,0.2917
/home/dx/ros2_ws/A/dyn_reset_clean.csv,7,1,,6,dynamic,succeeded,0,32.055,181.85,11,13,4,0.029,0.338
/home/dx/ros2_ws/A/dyn_reset_clean.csv,8,1,,7,dynamic,succeeded,0,31.922,181.31,6,7,4,0.084,0.2928
/home/dx/ros2_ws/A/dyn_reset_clean.csv,9,1,,8,dynamic,succeeded,0,31.828,177.65,5,5,1,0.241,0.2868
/home/dx/ros2_ws/A/dyn_reset_clean.csv,10,1,,9,dynamic,succeeded,0,31.776,178.72,5,6,1,0.202,0.2893
/home/dx/ros2_ws/A/dyn_reset_clean.csv,11,1,,10,dynamic,succeeded,0,31.636,176.67,4,5,0,0.481,0.3132
/home/dx/ros2_ws/A/dyn_reset_clean.csv,12,1,,11,dynamic,succeeded,0,31.946,176.28,4,5,1,0.361,0.2937
/home/dx/ros2_ws/A/dyn_reset_clean.csv,13,1,,12,dynamic,succeeded,0,31.916,177.64,3,5,2,0.135,0.2759
/home/dx/ros2_ws/A/dyn_reset_clean.csv,14,1,,13,dynamic,succeeded,0,31.853,178.35,1,3,2,0.027,0.2893
/home/dx/ros2_ws/A/dyn_reset_clean.csv,15,1,,14,dynamic,succeeded,0,31.985,176.58,1,2,2,0.218,0.2896
/home/dx/ros2_ws/A/dyn_reset_clean.csv,16,1,,15,dynamic,succeeded,0,32.25,179.39,1,1,0,0.468,0.2892
/home/dx/ros2_ws/A/dyn_reset_clean.csv,17,1,,16,dynamic,succeeded,0,31.965,180.69,2,1,1,0.326,0.2929
/home/dx/ros2_ws/A/dyn_reset_clean.csv,18,1,,17,dynamic,succeeded,0,32.026,178.95,1,1,0,0.587,0.3029
/home/dx/ros2_ws/A/dyn_reset_clean.csv,19,1,,18,dynamic,succeeded,0,31.907,178.42,1,1,0,0.897,0.3008
/home/dx/ros2_ws/A/dyn_reset_clean.csv,20,1,,19,dynamic,succeeded,0,32.129,182.74,0,0,0,1.707,0.3002
/home/dx/ros2_ws/A/dyn_reset_clean.csv,21,1,,20,dynamic,succeeded,0,31.888,175.66,0,0,0,1.672,0.2897
/home/dx/ros2_ws/A/dyn_reset_clean.csv,22,1,,21,dynamic,succeeded,0,31.972,173.58,0,0,0,2.642,0.2799
/home/dx/ros2_ws/A/dyn_reset_clean.csv,23,0,non_success_attempt,22,dynamic,aborted,0,21.719,119.05,0,0,0,3.049,0.2788
/home/dx/ros2_ws/A/dyn_reset_clean.csv,24,1,,22,dynamic,succeeded,1,35.83,196.52,0,0,0,3.461,0.3006
/home/dx/ros2_ws/A/dyn_reset_clean.csv,25,1,,23,dynamic,succeeded,0,31.928,176.65,0,0,0,3.717,0.2745
/home/dx/ros2_ws/A/dyn_reset_clean.csv,26,1,,24,dynamic,succeeded,0,31.985,173.99,0,0,0,4.139,0.2792
/home/dx/ros2_ws/A/dyn_reset_clean.csv,27,1,,25,dynamic,succeeded,0,31.977,173.08,0,0,0,4.397,0.2727
/home/dx/ros2_ws/A/soc_reset.csv,1,1,,1,social,succeeded,0,36.139,261.5,18,19,10,0.098,0.3915
/home/dx/ros2_ws/A/soc_reset.csv,2,1,,2,social,succeeded,0,32.143,189.5,15,14,9,0.049,0.3077
/home/dx/ros2_ws/A/soc_reset.csv,3,1,,3,social,succeeded,0,32.314,201.18,9,10,4,0.025,0.2925
/home/dx/ros2_ws/A/soc_reset.csv,4,1,,4,social,succeeded,0,32.179,187.6,2,3,1,0.392,0.2948
/home/dx/ros2_ws/A/soc_reset.csv,5,1,,5,social,succeeded,0,32.235,187.02,0,0,0,2.099,0.2881
/home/dx/ros2_ws/A/soc_reset.csv,6,1,,6,social,succeeded,0,31.835,182.68,0,0,0,2.224,0.2683
/home/dx/ros2_ws/A/soc_reset.csv,7,1,,7,social,succeeded,0,32.108,187.29,0,0,0,2.779,0.3048
/home/dx/ros2_ws/A/soc_reset.csv,8,1,,8,social,succeeded,0,32.246,183.17,0,0,0,4.454,0.2935
/home/dx/ros2_ws/A/soc_reset.csv,9,1,,9,social,succeeded,0,32.011,182.74,0,0,0,4.705,0.2774
/home/dx/ros2_ws/A/soc_reset.csv,10,1,,10,social,succeeded,0,32.317,188.24,0,0,0,5.026,0.2872
/home/dx/ros2_ws/A/soc_reset.csv,11,1,,11,social,succeeded,0,32.372,177.13,0,0,0,5.143,0.2831
/home/dx/ros2_ws/A/soc_reset.csv,12,1,,12,social,succeeded,0,32.379,187.18,0,0,0,5.721,0.3246
/home/dx/ros2_ws/A/soc_reset.csv,13,1,,13,social,succeeded,0,32.343,171.76,0,0,0,8.757,0.2866
/home/dx/ros2_ws/A/soc_reset.csv,14,1,,14,social,succeeded,0,32.22,169.84,0,0,0,9.332,0.2676
/home/dx/ros2_ws/A/soc_reset.csv,15,1,,15,social,succeeded,0,32.451,171.17,0,0,0,9.746,0.2851
/home/dx/ros2_ws/A/soc_reset.csv,16,1,min_dist_gt_10m_suspect,16,social,succeeded,0,32.201,169.14,0,0,0,11.598,0.2664
/home/dx/ros2_ws/A/soc_reset.csv,17,1,min_dist_gt_10m_suspect,17,social,succeeded,0,32.279,168.77,0,0,0,12.514,0.2653
/home/dx/ros2_ws/A/soc_reset.csv,18,1,min_dist_gt_10m_suspect,18,social,succeeded,0,32.128,169.28,0,0,0,13.062,0.2707
/home/dx/ros2_ws/A/soc_reset.csv,19,1,min_dist_gt_10m_suspect,19,social,succeeded,0,31.978,169.19,0,0,0,14.188,0.2868
/home/dx/ros2_ws/A/soc_reset.csv,20,1,min_dist_gt_10m_suspect;min_dist_gt_15m_unrealistic,20,social,succeeded,0,31.898,165.79,0,0,0,15.018,0.2631
/home/dx/ros2_ws/A/soc_reset.csv,21,1,min_dist_gt_10m_suspect;min_dist_gt_15m_unrealistic,21,social,succeeded,0,32.05,167.29,0,0,0,15.475,0.2624
/home/dx/ros2_ws/A/soc_reset.csv,22,1,min_dist_gt_10m_suspect;min_dist_gt_15m_unrealistic,22,social,succeeded,0,32.1,178.24,0,0,0,16.344,0.2872
/home/dx/ros2_ws/A/soc_reset.csv,23,1,min_dist_gt_10m_suspect;min_dist_gt_15m_unrealistic,23,social,succeeded,0,32.268,178.31,0,0,0,16.621,0.2989
/home/dx/ros2_ws/A/soc_reset.csv,24,1,min_dist_gt_10m_suspect;min_dist_gt_15m_unrealistic,24,social,succeeded,0,32.027,179.85,0,0,0,17.891,0.2994
/home/dx/ros2_ws/A/soc_reset.csv,25,1,min_dist_gt_10m_suspect;min_dist_gt_15m_unrealistic,25,social,succeeded,0,31.965,177.03,0,0,0,19.348,0.2712
/home/dx/ros2_ws/A/astar_reset.csv,1,0,non_success_attempt,1,social_astar,aborted,0,0.0,8.85,0,0,0,2.972,5.4457
/home/dx/ros2_ws/A/astar_reset.csv,2,1,,1,social_astar,succeeded,1,35.991,173.39,16,18,6,0.026,0.2626
/home/dx/ros2_ws/A/astar_reset.csv,3,1,,2,social_astar,succeeded,0,32.28,148.05,15,15,5,0.174,0.2548
/home/dx/ros2_ws/A/astar_reset.csv,4,1,,3,social_astar,succeeded,0,32.149,149.98,5,10,3,0.167,0.2787
/home/dx/ros2_ws/A/astar_reset.csv,5,1,,4,social_astar,succeeded,0,32.222,148.57,2,3,1,0.331,0.2457
/home/dx/ros2_ws/A/astar_reset.csv,6,1,,5,social_astar,succeeded,0,32.385,148.15,1,1,0,0.545,0.2591
/home/dx/ros2_ws/A/astar_reset.csv,7,1,,6,social_astar,succeeded,0,32.239,145.69,0,0,0,3.493,0.2349
/home/dx/ros2_ws/A/astar_reset.csv,8,1,,7,social_astar,succeeded,0,32.309,145.76,0,0,0,3.986,0.246
/home/dx/ros2_ws/A/astar_reset.csv,9,1,,8,social_astar,succeeded,0,32.155,147.0,0,0,0,4.843,0.2567
/home/dx/ros2_ws/A/astar_reset.csv,10,1,,9,social_astar,succeeded,0,31.995,146.27,0,0,0,5.515,0.2594
/home/dx/ros2_ws/A/astar_reset.csv,11,1,,10,social_astar,succeeded,0,32.311,146.68,0,0,0,6.189,0.2429
/home/dx/ros2_ws/A/astar_reset.csv,12,1,,11,social_astar,succeeded,0,32.266,147.04,0,0,0,7.1,0.2665
/home/dx/ros2_ws/A/astar_reset.csv,13,1,,12,social_astar,succeeded,0,32.181,147.72,0,0,0,7.195,0.2498
/home/dx/ros2_ws/A/astar_reset.csv,14,1,,13,social_astar,succeeded,0,32.229,148.5,0,0,0,8.153,0.2572
/home/dx/ros2_ws/A/astar_reset.csv,15,1,,14,social_astar,succeeded,0,32.235,151.39,0,0,0,8.176,0.3013
/home/dx/ros2_ws/A/astar_reset.csv,16,1,min_dist_gt_10m_suspect,15,social_astar,succeeded,0,32.169,146.72,0,0,0,11.24,0.2604
/home/dx/ros2_ws/A/astar_reset.csv,17,1,min_dist_gt_10m_suspect,16,social_astar,succeeded,0,32.263,146.84,0,0,0,12.768,0.2594
